Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,end_date
11 Jun,1987 general election,1987 general election,42.2%,30.8%,22.6%,11.4%,11 Jun 1987,1987-06-11
10 Jun,Marplan,The Guardian,42%,35%,21%,7%,10 Jun 1987,1987-06-10
10 Jun,MORI,The Times,44%,32%,22%,12%,10 Jun 1987,1987-06-10
9 Jun,Marplan,Today,43%,35%,21%,8%,9 Jun 1987,1987-06-09
9 Jun,Audience Selection,,43%,34%,21%,9%,9 Jun 1987,1987-06-09
9 Jun,Gallup,The Daily Telegraph,41%,34%,23.5%,7%,9 Jun 1987,1987-06-09
9 Jun,Harris,TV-AM,42%,35%,21%,7%,9 Jun 1987,1987-06-09
8 Jun,Marplan,The Guardian,45%,32%,21%,13%,8 Jun 1987,1987-06-08
6 Jun,Harris,TV-AM,43%,33%,22%,10%,6 Jun 1987,1987-06-06
5 Jun,Marplan,Today,43%,35%,21%,8%,5 Jun 1987,1987-06-05
5 Jun,Gallup,The Sunday Telegraph,41.5%,34.5%,22.5%,7%,5 Jun 1987,1987-06-05
4 Jun,Marplan,The Guardian,44%,34%,20%,10%,4 Jun 1987,1987-06-04
4 Jun,Harris,The Observer,44%,33%,21%,11%,4 Jun 1987,1987-06-04
4 Jun,MORI,The Sunday Times,43%,32%,24%,11%,4 Jun 1987,1987-06-04
3 Jun,Gallup,The Daily Telegraph,40.5%,36.5%,21.5%,4%,3 Jun 1987,1987-06-03
1 Jun,Marplan,Today,44%,33%,21%,11%,1 Jun 1987,1987-06-01
31 May,Harris,,42%,35%,21%,7%,31 May 1987,1987-05-31
29 May,Harris,TV-AM,45%,32%,22%,13%,29 May 1987,1987-05-29
29 May,Gallup,The Sunday Telegraph,41.5%,34%,22.5%,7.5%,29 May 1987,1987-05-29
28 May,Marplan,The Guardian,44%,32%,21%,12%,28 May 1987,1987-05-28
28 May,Harris,The Observer,41%,37%,21%,4%,28 May 1987,1987-05-28
28 May,MORI,The Sunday Times,44%,32%,23%,12%,28 May 1987,1987-05-28
27 May,Gallup,The Daily Telegraph,44.5%,36%,18%,8.5%,27 May 1987,1987-05-27
26 May,Marplan,Today,42%,35%,20%,7%,26 May 1987,1987-05-26
25 May,Harris,TV-AM,42%,37%,21%,5%,25 May 1987,1987-05-25
24 May,MORI,,44%,31%,24%,13%,24 May 1987,1987-05-24
22 May,Gallup,The Sunday Telegraph,42%,33%,23%,9%,22 May 1987,1987-05-22
21 May,Marplan,The Guardian,41%,33%,21%,8%,21 May 1987,1987-05-21
21 May,Harris,TV-AM,43%,36%,20%,7%,21 May 1987,1987-05-21
21 May,MORI,The Sunday Times,44%,31%,24%,13%,21 May 1987,1987-05-21
21 May,Harris,The Observer,41%,34%,22%,7%,21 May 1987,1987-05-21
20 May,Gallup,,42%,33%,23%,9%,20 May 1987,1987-05-20
20 May,NOP,,41%,33%,23%,8%,20 May 1987,1987-05-20
18 May,Marplan,Today,41%,33%,24%,8%,18 May 1987,1987-05-18
