Dates conducted,Pollster,Client,Lab,Con,Lib,Lead,date_year_appended,end_date
3 May,1979 general election,1979 general election,36.9%,43.9%,13.8%,7%,3 May 1979,1979-05-03
2 May,Gallup,The Daily Telegraph,38.5%,49%,9%,10.5%,2 May 1979,1979-05-02
2 May,NOP,Daily Mail,39%,46%,12.5%,7%,2 May 1979,1979-05-02
2 May,Gallup,The Daily Telegraph,41%,43%,13.5%,2%,2 May 1979,1979-05-02
2 May,MORI,Evening Standard,37%,45%,15%,8%,2 May 1979,1979-05-02
1 May,MORI,Daily Express,38.8%,44.4%,13.5%,5.6%,1 May 1979,1979-05-01
1 May,Marplan,The Sun,38.5%,45%,9%,6.5%,1 May 1979,1979-05-01
30 Apr,NOP,Daily Mail,43.1%,42.4%,12.2%,0.7%,30 Apr 1979,1979-04-30
26 Apr,MORI,Daily Express,41%,44%,12%,3%,26 Apr 1979,1979-04-26
25 Apr,Gallup,The Sunday Telegraph,40%,48%,10.5%,8%,25 Apr 1979,1979-04-25
25 Apr,Research Srv,The Observer,38%,49.5%,10%,11.5%,25 Apr 1979,1979-04-25
25 Apr,Marplan,The Sun,40%,48%,10%,8%,25 Apr 1979,1979-04-25
23 Apr,MORI,Daily Express,40%,46%,11%,6%,23 Apr 1979,1979-04-23
21 Apr,Gallup,The Daily Telegraph,41.5%,46.5%,10%,5%,21 Apr 1979,1979-04-21
19 Apr,Marplan,The Sun,40%,50%,9%,10%,19 Apr 1979,1979-04-19
18 Apr,Gallup,The Sunday Telegraph,42%,47.5%,9%,5.5%,18 Apr 1979,1979-04-18
18 Apr,Marplan,The Sun,41%,51%,6%,10%,18 Apr 1979,1979-04-18
18 Apr,Research Srv,The Observer,34%,54%,9.5%,20%,18 Apr 1979,1979-04-18
17 Apr,MORI,Daily Express,38%,50%,10%,12%,17 Apr 1979,1979-04-17
14 Apr,NOP,Daily Mail,42%,48%,8%,6%,14 Apr 1979,1979-04-14
11 Apr,Research Srv,The Observer,37%,53%,8%,16%,11 Apr 1979,1979-04-11
9 Apr,Gallup,The Daily Telegraph,40%,50%,8%,10%,9 Apr 1979,1979-04-09
9 Apr,MORI,Daily Express,39%,49%,10%,10%,9 Apr 1979,1979-04-09
7 Apr,The Dissolution of the 47th Parliament and campaigning officially begins,The Dissolution of the 47th Parliament and campaigning officially begins,The Dissolution of the 47th Parliament and campaigning officially begins,The Dissolution of the 47th Parliament and campaigning officially begins,The Dissolution of the 47th Parliament and campaigning officially begins,The Dissolution of the 47th Parliament and campaigning officially begins,7 Apr 1979,1979-04-07
4 Apr,Research Srv,The Observer,33.5%,54.5%,9%,21%,4 Apr 1979,1979-04-04
3 Apr,NOP,Daily Mail,42%,48%,8%,6%,3 Apr 1979,1979-04-03
2 Apr,MORI,Daily Express,38%,51%,10%,13%,2 Apr 1979,1979-04-02
29 Mar,MORI,Thames,42%,51%,5%,9%,29 Mar 1979,1979-03-29
