Dates conducted,Pollster,Client,Lab,Con,Lib,Lead,date_year_appended,end_date
18 Jun 1970,1970 general election,1970 general election,43.1,46.0,7.5,2.9,18 Jun 1970 1970,1970-06-18
14-16 Jun,Harris,Daily Express,48.0,46.0,5.0,2.0,14-16 Jun 1970,1970-06-16
14-16 Jun,Gallup,Daily Telegraph,49.0,42.0,7.5,7.0,14-16 Jun 1970,1970-06-16
13-17 Jun,ORC,Evening Standard,45.5,46.5,6.5,1.0,13-17 Jun 1970,1970-06-17
12-16 Jun,NOP,Daily Mail,48.1,44.0,6.4,4.1,12-16 Jun 1970,1970-06-16
11-14 Jun,Marplan,The Times,50.2,41.5,7.0,8.7,11-14 Jun 1970,1970-06-14
14 Jun,Harris,Daily Express,47.0,45.0,7.0,2.0,14 Jun 1970,1970-06-14
7-11 Jun,Gallup,Daily Telegraph,48.0,45.5,5.5,2.5,7-11 Jun 1970,1970-06-11
3-7 Jun,NOP,Daily Mail,51.6,39.2,7.9,12.4,3-7 Jun 1970,1970-06-07
7 Jun,Harris,Daily Express,49.0,42.0,8.0,7.0,7 Jun 1970,1970-06-07
11 Jun,ORC,Evening Standard,49.0,42.0,8.0,7.0,11 Jun 1970,1970-06-11
7 Jun,ORC,Sunday Times,47.0,45.0,7.0,2.0,7 Jun 1970,1970-06-07
6 Jun,Marplan,The Times,48.1,44.4,6.2,3.7,6 Jun 1970,1970-06-06
4 Jun,ORC,Evening Standard,47.5,43.0,8.0,4.5,4 Jun 1970,1970-06-04
3 Jun,Harris,Daily Express,48.0,43.0,7.0,5.0,3 Jun 1970,1970-06-03
31-4 May,Gallup,Daily Telegraph,49.5,44.0,5.0,5.5,31-4 May 1970,1970-05-04
27-31 May,NOP,Daily Mail,49.5,44.4,4.8,5.1,27-31 May 1970,1970-05-31
23-26 May,Gallup,Daily Telegraph,50.0,44.5,4.5,5.5,23-26 May 1970,1970-05-26
31 May,ORC,Sunday Times,45.0,47.0,5.0,2.0,31 May 1970,1970-05-31
20-26 May,NOP,Daily Mail,48.0,44.8,5.9,3.2,20-26 May 1970,1970-05-26
28 May,ORC,Evening Standard,45.0,43.0,10.0,2.0,28 May 1970,1970-05-28
21 May,ORC,Evening Standard,45.5,44.5,7.0,1.0,21 May 1970,1970-05-21
